claim_id,manuscript_section,evidence_class,claim_summary,authoritative_paths,supporting_docs,publication_language,prohibited_upgrade
R10,Results/2024 uncertainty,COMPLETED_CONFIRMATORY,"ONE_SIDED_CLUSTER_DRIFT_GUARD_90 achieved environment-balanced coverage 0.9521031534, failed the inherited criterion, and had mean interval score 11.1062518828.","reports/results/case_study_b14c_2024_interval_summary.csv","docs/case_study_b14c_2024_results.md","predeclared carry-forward guard over-widened and was less efficient","Do not call the guard a newly invented conformal method."
D01,Discussion/Calibration transport,PRIMARY_INTERPRETATION,"The direction of the previous observed calibration error was not sufficiently transport-stable to justify this particular one-sided next-season correction.","reports/results/case_study_b12_2022_available_case_coverage.csv|reports/results/case_study_b14c_2024_interval_summary.csv","docs/case_study_b_closure_and_contribution_audit.md|docs/case_study_b_pub_b1_publication_synthesis_lock.md","directional nontransport of the tested feedback action","Do not claim a general monotone or nonmonotone seasonal law because 2023 was unevaluable."
R11,Results/Failure diagnosis,POSTOUTCOME_DIAGNOSTIC,"B16 assigns 0.4296201954 of SSE to environment mean offsets and 0.5703798046 to within-environment centered error.","reports/results/case_study_b16_2024_error_structure_summary.csv","docs/case_study_b16_error_structure_diagnostic.md","mixed external error structure","Do not present the decomposition as a new statistical method."
R12,Results/Failure diagnosis,POSTOUTCOME_DIAGNOSTIC,"B16 median within-environment Pearson was 0.2985229926, median Spearman 0.2386679001, and median predicted/observed SD ratio 0.2882996097.","reports/results/case_study_b16_2024_error_structure_summary.csv","docs/case_study_b16_error_structure_diagnostic.md","weak-to-moderate ordering and severe under-dispersion","Do not use the retrospective oracle intercept as a deployed correction."
D02,Discussion/Architecture,STRUCTURAL_BACKGROUND,"For the additive G+E_T1 predictor, the environmental main-effect term cancels from same-environment genotype contrasts in exact arithmetic.","reports/results/case_study_b17_t1_decision.csv|reports/results/case_study_b17_t1_operator_equivalence.csv","docs/case_study_b17_t1_architecture_contraction_novelty.md","structural limitation of the deployed additive architecture","Do not claim a new contraction theorem or new GxE method."
D03,Discussion/Numerical provenance,STRUCTURAL_BACKGROUND,"The original CSV-only 1e-8 B17-T1 check failed and the preserved post-execution numerical amendment established consistency with the float32 implementation budget.","reports/results/case_study_b17_t1_decision.csv|reports/results/case_study_b17_t1_numerical_amendment.json","docs/case_study_b17_t1_architecture_contraction_novelty.md","preserved numerical provenance","Do not hide the first-run precision failure or treat float32 discrepancy as meaningful GxE modulation."
D04,Discussion/Novelty hygiene,NEGATIVE_NOVELTY,"B15-T1 terminated calibration-feedback methodology novelty after equivalence with established partial-identification and robust-decision theory.","reports/results/case_study_b15_t1_feedback_decision_lock.json|reports/results/case_study_b15_theory_lock.json","docs/case_study_b15_t1_feedback_decision_novelty_test.md","negative novelty audit","Do not present B15 as a novel conformal or decision-theory method."
D05,Discussion/Novelty hygiene,NEGATIVE_NOVELTY,"B17-T1 terminated architecture-contraction novelty; B17-T2 was not permitted.","reports/results/case_study_b17_t1_decision.csv","docs/case_study_b17_t1_architecture_contraction_novelty.md","negative novelty audit with useful structural background","Do not open B17-T2 inside the manuscript program."
D06,Discussion/Novelty hygiene,NEGATIVE_NOVELTY,"B18 found three direct primary-prior-art collisions and zero surviving novel formal objects, so no model development was permitted.","reports/results/case_study_b18_decision.csv|reports/results/case_study_b18_literature_boundary.csv","docs/case_study_b18_forecast_time_hypothesis_audit.md","forecast-time novelty rejected before model development","Do not treat B18 as authorization for B19."
L01,Limitations/External seasons,LIMITATION,"B14C is the sole completed confirmatory external target in the B12-B18 closure span; B12 primary was incomplete and 2023 was unevaluable.","reports/results/case_study_b_pub_b1_evidence_hierarchy.csv","docs/case_study_b_pub_b1_publication_synthesis_lock.md","one completed confirmatory external target in the closure span","Do not imply repeated confirmed season-to-season transport."
L02,Limitations/Abstention,LIMITATION,"Case Study B does not validate support-based abstention as a selective-risk mechanism.","reports/results/case_study_b14c_2024_support_diagnostic.csv|reports/results/case_study_b_pub_b1_claim_ledger.csv","docs/case_study_b_closure_and_contribution_audit.md","support geometry remains diagnostic","Do not claim validated selective prediction in Case Study B."
L03,Limitations/Design wording,LIMITATION,"The 2026 B14B/B14C execution was blinded relative to repository outcome access but was not calendar-time prospective before 2024 outcomes became public.","reports/results/case_study_b_pub_b1_claim_ledger.csv","docs/case_study_b_closure_and_contribution_audit.md","seal-first blinded repository external validation","Do not use unqualified prospective-2024 wording."
P01,Reproducibility/Prediction seal,PRIMARY_PROVENANCE,"The manuscript must report the immutable B14B prediction SHA-256 and candidate-universe SHA-256.","reports/results/case_study_b14b_2024_seal_decision.csv","docs/case_study_b14b_2024_sealed_prediction.md","first-class reproducibility artifact","Do not replace the sealed file with a post-reveal reconstruction."
P02,Reproducibility/Claim boundary,PRIMARY_PROVENANCE,"PUB-B1 claim and evidence ledgers are authoritative for manuscript wording and evidence class.","reports/results/case_study_b_pub_b1_claim_ledger.csv|reports/results/case_study_b_pub_b1_evidence_hierarchy.csv","docs/case_study_b_pub_b1_publication_synthesis_lock.md","publication claim boundary","Do not silently upgrade diagnostic or background evidence."
P03,Reproducibility/PUB-B2 assets,PUBLICATION_ONLY,"PUB-B2 figures and tables must be deterministic transformations of frozen committed artifacts and must record input/output SHA-256 hashes.","reports/results/case_study_b_pub_b2_lock.json","docs/case_study_b_pub_b2_manuscript_scaffold.md","publication formatting only","Do not introduce new scientific calculations, cohorts, model outputs, or tuning."
